Epoch	Time(sec)	Loss_train	AUC_train	AUC_dev 	AUC_test	Prec_train	Prec_dev 	Prec_test	Recall_train	Recall_dev 	Recall_test	PR_AUC_test	Test_eval
Fold 0:
0	137.98201	113.16278	  0.97905	  0.96923	  0.97579	  0.93768	  0.92368	  0.91534	  0.93787	  0.92545	   0.9353	  0.97478	  0.94214
1	242.87798	 64.00201	        0	  0.97741	  0.98246	        0	  0.92935	  0.91879	        0	  0.95131	  0.95786	  0.98186	  0.95304
2	344.09169	 46.97847	        0	  0.98108	  0.98434	        0	  0.92348	  0.91377	        0	   0.9652	  0.96377	  0.98372	  0.95396
3	445.78578	 37.57761	        0	  0.98225	  0.98438	        0	  0.95029	   0.9476	        0	  0.94604	   0.9427	  0.98368	  0.95823
4	547.93973	 32.39826	        0	  0.98273	  0.98424	        0	  0.95715	  0.95344	        0	  0.93439	  0.93124	  0.98349	  0.95631
5	674.93183	 30.49035	  0.99722	  0.98433	   0.9852	  0.99087	  0.96681	  0.96495	  0.96214	  0.93008	  0.92606	  0.98487	  0.95874
6	776.34415	 23.41067	        0	  0.98355	  0.98527	        0	  0.96262	  0.95921	        0	  0.93726	    0.939	  0.98496	  0.96116
7	877.99142	 21.67798	        0	    0.984	  0.98536	        0	  0.96345	  0.96081	        0	  0.93423	   0.9427	  0.98541	  0.96296
8	979.64959	 18.57231	        0	   0.9842	  0.98548	        0	  0.95926	  0.95688	        0	  0.93598	  0.94344	  0.98541	  0.96193
9	1081.17866	 17.79608	        0	  0.98315	  0.98456	        0	  0.94023	  0.93682	        0	  0.95674	  0.95933	  0.98435	  0.96024
10	1207.66839	  16.3157	  0.99838	  0.98331	  0.98425	  0.99091	  0.95928	   0.9598	  0.97541	  0.94013	  0.94455	  0.98347	  0.96287
11	1309.01652	 15.84365	        0	  0.98444	  0.98538	        0	  0.95563	  0.95059	        0	  0.94891	  0.95305	  0.98533	  0.96301
12	1411.04064	 13.55775	        0	  0.98296	  0.98466	        0	  0.93143	  0.92338	        0	  0.96711	  0.96673	  0.98458	  0.95826
13	1512.82016	 11.88112	        0	  0.98374	  0.98569	        0	  0.93252	  0.92653	        0	  0.96855	  0.96969	  0.98552	  0.96064
14	1614.54167	 10.37722	        0	  0.98369	  0.98588	        0	  0.92538	  0.92136	        0	  0.97015	  0.97449	  0.98538	  0.96058
15	1741.1745	 11.51278	  0.99863	  0.98185	  0.98418	  0.97725	  0.93215	  0.92637	  0.99238	   0.9628	  0.96747	  0.98369	  0.95934
