Epoch	Time(sec)	Loss_train	AUC_train	AUC_dev 	AUC_test	Prec_train	Prec_dev 	Prec_test	Recall_train	Recall_dev 	Recall_test	Test_eval
0	236.80546	113.16278	  0.97905	  0.96923	  0.97579	  0.93768	  0.92368	  0.91534	  0.93787	  0.92545	   0.9353	  0.94214
1	413.18693	 64.00201	        0	  0.97741	  0.98246	        0	  0.92935	  0.91879	        0	  0.95131	  0.95786	  0.95304
2	592.31486	 46.97847	        0	  0.98108	  0.98434	        0	  0.92348	  0.91377	        0	   0.9652	  0.96377	  0.95396
3	739.06138	 37.57761	        0	  0.98225	  0.98438	        0	  0.95029	   0.9476	        0	  0.94604	   0.9427	  0.95823
4	910.59194	 32.39826	        0	  0.98273	  0.98424	        0	  0.95715	  0.95344	        0	  0.93439	  0.93124	  0.95631
5	1155.34755	 30.49035	  0.99722	  0.98433	   0.9852	  0.99087	  0.96681	  0.96495	  0.96214	  0.93008	  0.92606	  0.95874
6	1334.04058	 23.41067	        0	  0.98355	  0.98527	        0	  0.96262	  0.95921	        0	  0.93726	    0.939	  0.96116
7	1511.26306	 21.67798	        0	    0.984	  0.98536	        0	  0.96345	  0.96081	        0	  0.93423	   0.9427	  0.96296
8	1628.77539	 18.57231	        0	   0.9842	  0.98548	        0	  0.95926	  0.95688	        0	  0.93598	  0.94344	  0.96193
9	1736.11758	 17.79608	        0	  0.98315	  0.98456	        0	  0.94023	  0.93682	        0	  0.95674	  0.95933	  0.96024
10	1872.40353	  16.3157	  0.99838	  0.98331	  0.98425	  0.99091	  0.95928	   0.9598	  0.97541	  0.94013	  0.94455	  0.96287
11	1974.86187	 15.84365	        0	  0.98444	  0.98538	        0	  0.95563	  0.95059	        0	  0.94891	  0.95305	  0.96301
12	2077.22326	 13.55775	        0	  0.98296	  0.98466	        0	  0.93143	  0.92338	        0	  0.96711	  0.96673	  0.95826
13	2179.43838	 11.88112	        0	  0.98374	  0.98569	        0	  0.93252	  0.92653	        0	  0.96855	  0.96969	  0.96064
14	2281.85164	 10.37722	        0	  0.98369	  0.98588	        0	  0.92538	  0.92136	        0	  0.97015	  0.97449	  0.96058
15	2409.3697	 11.51278	  0.99863	  0.98185	  0.98418	  0.97725	  0.93215	  0.92637	  0.99238	   0.9628	  0.96747	  0.95934
16	2511.68763	 11.31132	        0	  0.98362	  0.98457	        0	  0.95185	  0.95386	        0	  0.95307	  0.95527	  0.96457
17	2613.51221	   9.4197	        0	  0.98417	  0.98619	        0	  0.93725	  0.93052	        0	  0.96568	  0.97043	  0.96238
18	2715.2397	  9.04221	        0	  0.98408	   0.9856	        0	  0.92606	  0.91791	        0	  0.96967	   0.9756	   0.9597
19	2818.79684	  8.62188	        0	  0.98403	  0.98472	        0	  0.95269	  0.95198	        0	  0.95482	  0.95268	  0.96313
20	2956.15552	  6.79032	  0.99966	  0.98423	  0.98524	  0.99019	  0.94559	  0.94673	  0.99694	   0.9628	  0.95933	  0.96377
