Epoch	Time(sec)	Loss_train	AUC_train	AUC_dev	Prec_train	Prec_dev	Recall_train	Recall_dev	PR_AUC_dev	Test_eval
Fold 0:
0	 48.07788	 66.47621	  0.86124	  0.80701	  0.67581	  0.61436	   0.9468	  0.92154	  0.81032	  0.78097
1	 80.99858	  47.6819	        0	  0.84955	        0	  0.73045	        0	  0.80718	  0.85021	  0.79573
2	113.86294	 38.61354	        0	  0.86391	        0	  0.74747	        0	  0.78723	  0.86772	  0.79954
3	146.79874	 34.06076	        0	  0.86874	        0	  0.72759	        0	  0.84176	  0.87278	  0.81269
4	 179.7903	 31.42906	        0	  0.87012	        0	  0.74374	        0	  0.82979	  0.87389	  0.81455
5	227.00629	  28.6151	  0.96904	  0.87744	  0.92825	  0.78382	  0.87951	   0.7859	  0.88274	  0.81572
6	259.71717	 22.07528	        0	  0.88628	        0	  0.76303	        0	  0.81782	  0.89341	  0.82238
7	292.41642	 19.09817	        0	  0.88867	        0	  0.76687	        0	  0.83112	  0.89537	  0.82889
8	325.08475	 17.04603	        0	  0.88922	        0	  0.76348	        0	  0.82846	   0.8951	  0.82705
9	357.56729	 15.37343	        0	  0.88909	        0	  0.76341	        0	  0.83245	  0.89461	  0.82832
10	404.82189	 13.87982	  0.99218	  0.88929	  0.95067	  0.76364	   0.9667	  0.83777	  0.89467	  0.83023
11	437.30816	 12.20524	        0	  0.88909	        0	  0.77206	        0	  0.83777	  0.89393	  0.83297
12	469.96281	 11.77732	        0	  0.88907	        0	  0.77518	        0	   0.8391	   0.8937	  0.83445
13	502.52477	 11.54524	        0	  0.88901	        0	  0.77737	        0	  0.84043	  0.89348	   0.8356
14	534.78486	 11.35533	        0	  0.88901	        0	  0.77682	        0	  0.83777	  0.89334	  0.83453
15	 581.1607	 11.18099	  0.99398	  0.88903	  0.96195	  0.77559	  0.96767	  0.83644	  0.89327	  0.83368
