Epoch	Time(sec)	Loss_train	AUC_train	AUC_dev	Prec_train	Prec_dev	Recall_train	Recall_dev	PR_AUC_dev	Test_eval
Fold 0:
0	 14.19773	118.66635	  0.98945	  0.98332	  0.88801	  0.87339	  0.97246	  0.96753	  0.98266	  0.94141
1	 25.02917	 52.00627	        0	  0.98734	        0	  0.91832	        0	  0.96364	  0.98704	  0.95643
2	 35.54621	 37.08803	        0	  0.99236	        0	  0.98495	        0	  0.93506	  0.99242	  0.97079
3	 45.92859	 23.66396	        0	  0.99462	        0	  0.99008	        0	  0.90779	   0.9936	  0.96417
4	 56.35334	 21.67187	        0	  0.99152	        0	  0.97113	        0	  0.96104	   0.9914	  0.97456
5	 69.68343	 13.56847	  0.99937	  0.99136	  0.99005	  0.97109	  0.98783	  0.95974	  0.99157	  0.97406
6	 80.07663	  7.63809	        0	  0.99416	        0	  0.98289	        0	  0.97013	  0.99377	   0.9824
7	  90.4609	  3.29469	        0	  0.99408	        0	  0.98039	        0	  0.97403	  0.99355	  0.98283
8	 100.7428	  2.19393	        0	  0.99426	        0	  0.97911	        0	  0.97403	  0.99388	  0.98247
9	111.34692	  1.53045	        0	  0.99399	        0	  0.97917	        0	  0.97662	  0.99352	  0.98326
10	124.94087	  1.16693	      1.0	  0.99407	  0.99904	  0.97919	  0.99936	  0.97792	  0.99372	  0.98373
11	135.60004	  0.80149	        0	  0.99406	        0	  0.98047	        0	  0.97792	  0.99372	  0.98415
12	146.07688	  0.76656	        0	  0.99406	        0	  0.97792	        0	  0.97792	  0.99373	   0.9833
13	156.59245	  0.73297	        0	  0.99407	        0	  0.97792	        0	  0.97792	  0.99375	  0.98331
14	 166.9836	  0.69839	        0	  0.99407	        0	  0.97792	        0	  0.97792	  0.99377	  0.98331
15	180.33143	  0.66275	      1.0	  0.99409	  0.99968	  0.97792	  0.99936	  0.97792	  0.99382	  0.98331
Fold 1:
0	193.79923	126.24468	   0.9858	  0.97667	  0.99287	    0.986	  0.84694	  0.82338	  0.97738	  0.92868
1	204.36126	 63.08025	        0	  0.98718	        0	  0.94948	        0	  0.95195	   0.9858	  0.96287
2	214.92641	 37.46675	        0	  0.99206	        0	  0.95647	        0	  0.97013	  0.99034	  0.97288
3	225.47012	  22.9947	        0	   0.9937	        0	   0.9653	        0	  0.97532	  0.99321	  0.97811
4	235.84233	 18.87512	        0	  0.99186	        0	  0.98338	        0	  0.92208	  0.99153	  0.96577
5	249.19003	 17.04877	  0.99891	   0.9878	  0.98774	  0.96277	  0.98015	  0.94026	  0.98699	  0.96361
6	 259.5601	  6.49859	        0	  0.99308	        0	  0.97507	        0	  0.96494	  0.99237	  0.97769
7	269.97299	  3.35412	        0	  0.99326	        0	  0.97647	        0	  0.97013	  0.99276	  0.97995
8	280.43728	  2.35876	        0	  0.99336	        0	  0.97775	        0	  0.97013	  0.99301	  0.98041
9	290.77052	  1.70341	        0	  0.99306	        0	  0.97772	        0	  0.96883	  0.99256	  0.97987
10	 304.1203	  1.22434	  0.99999	  0.99308	      1.0	  0.97772	  0.99872	  0.96883	  0.99271	  0.97988
11	314.46765	  1.18967	        0	  0.99303	        0	  0.97399	        0	  0.97273	  0.99276	  0.97992
12	324.91913	   0.9008	        0	    0.993	        0	  0.97409	        0	  0.97662	  0.99275	  0.98124
13	335.32717	   0.7377	        0	  0.99303	        0	  0.97287	        0	  0.97792	  0.99277	  0.98127
14	345.71868	  0.67438	        0	    0.993	        0	  0.97283	        0	  0.97662	  0.99274	  0.98082
15	359.04683	  0.62359	      1.0	    0.993	  0.99968	  0.97283	  0.99936	  0.97662	  0.99275	  0.98082
Fold 2:
0	372.50392	124.96101	  0.98863	  0.97922	  0.93304	  0.91572	  0.95933	  0.94545	  0.97961	   0.9468
1	382.94623	 58.42696	        0	  0.98665	        0	  0.88915	        0	  0.97922	  0.98587	  0.95167
2	393.40609	 33.26196	        0	  0.99097	        0	  0.94823	        0	  0.97532	  0.99022	  0.97151
3	403.90437	 25.19252	        0	  0.99293	        0	  0.95908	        0	  0.97403	  0.99203	  0.97534
4	414.31112	 22.00322	        0	  0.99089	        0	  0.96489	        0	  0.96364	  0.98851	  0.97314
5	 427.6437	 15.95341	  0.99949	  0.99275	  0.97988	  0.94059	  0.99808	  0.98701	  0.99082	  0.97345
6	438.13025	  7.35498	        0	  0.99351	        0	  0.97659	        0	  0.97532	  0.99222	  0.98181
7	448.71226	  4.23382	        0	   0.9938	        0	  0.97914	        0	  0.97532	  0.99291	  0.98275
8	459.11255	  3.27415	        0	  0.99402	        0	  0.97662	        0	  0.97662	  0.99332	  0.98242
9	 469.5421	  2.61683	        0	  0.99419	        0	  0.97786	        0	  0.97532	  0.99365	  0.98246
10	482.95705	  2.01961	  0.99999	  0.99422	  0.99968	  0.97914	  0.99904	  0.97532	  0.99378	  0.98289
11	 493.3435	  1.37111	        0	  0.99423	        0	  0.97539	        0	  0.97792	  0.99384	  0.98251
12	503.81567	  1.32508	        0	  0.99423	        0	  0.97539	        0	  0.97792	  0.99387	  0.98252
13	514.21179	  1.27995	        0	  0.99425	        0	  0.97539	        0	  0.97792	  0.99393	  0.98252
14	524.61409	  1.22851	        0	  0.99388	        0	  0.97539	        0	  0.97792	  0.99327	   0.9824
15	538.01741	  1.17372	      1.0	  0.99389	  0.99968	  0.97413	  0.99904	  0.97792	  0.99333	  0.98198
Fold 3:
