Epoch	Time(sec)	Loss_train	AUC_train	AUC_dev	Prec_train	Prec_dev	Recall_train	Recall_dev	PR_AUC_dev	Test_eval
Fold 0:
0	 16.57132	123.74808	  0.98316	  0.97316	  0.93881	  0.91933	  0.92527	  0.91377	  0.97081	  0.93542
1	 28.91659	 60.42248	        0	  0.98333	        0	  0.90014	        0	  0.96823	  0.98193	  0.95057
2	 41.81177	 38.59943	        0	  0.98494	        0	  0.88843	        0	  0.97579	  0.98386	  0.94972
3	 54.57533	 30.78979	        0	  0.98074	        0	  0.83933	        0	   0.9879	  0.97655	  0.93599
4	 67.35968	 22.73694	        0	  0.98434	        0	  0.84948	        0	  0.98185	  0.98251	  0.93855
5	 86.26424	 20.22534	  0.99952	  0.98947	  0.97085	  0.91738	  0.99815	  0.97428	  0.98864	  0.96038
6	 99.39691	   8.1218	        0	  0.99094	        0	  0.96229	        0	   0.9652	  0.98972	  0.97281
7	111.56294	  4.43779	        0	  0.99117	        0	   0.9594	        0	   0.9652	  0.99013	  0.97192
8	124.64244	  2.94067	        0	  0.99131	        0	  0.95665	        0	  0.96823	  0.99046	  0.97206
9	137.83225	  1.96464	        0	  0.99134	        0	  0.96096	        0	  0.96823	  0.99065	  0.97351
10	156.34009	  1.30806	      1.0	  0.99134	  0.99815	  0.95952	      1.0	  0.96823	   0.9908	  0.97303
11	169.37665	  0.87093	        0	  0.99126	        0	   0.9652	        0	   0.9652	  0.99072	  0.97389
12	 181.8467	  0.78023	        0	  0.99121	        0	  0.96515	        0	  0.96369	  0.99069	  0.97335
13	194.78325	  0.73941	        0	   0.9912	        0	  0.96515	        0	  0.96369	  0.99069	  0.97335
14	207.67337	  0.70463	        0	  0.99119	        0	  0.96515	        0	  0.96369	  0.99072	  0.97335
15	226.35822	   0.6715	      1.0	  0.99119	  0.99926	  0.96515	      1.0	  0.96369	  0.99074	  0.97335
Fold 1:
0	245.17499	117.84007	  0.98836	  0.97734	  0.93398	  0.90776	  0.95782	  0.93797	  0.97613	  0.94102
1	257.68495	  62.4105	        0	   0.9859	        0	  0.97872	        0	  0.90469	  0.98478	  0.95644
2	270.74886	 45.06769	        0	  0.98726	        0	  0.96573	        0	  0.93797	  0.98704	  0.96365
3	282.87245	 28.84711	        0	  0.98644	        0	  0.95427	        0	  0.94705	  0.98586	  0.96259
4	295.73505	 26.90767	        0	    0.989	        0	   0.9835	        0	  0.90166	  0.98936	  0.95806
5	314.54433	 26.93203	  0.99852	  0.98754	  0.99753	  0.99112	  0.89567	  0.84418	  0.98787	  0.94095
6	327.52489	 12.54315	        0	  0.99032	        0	  0.95352	        0	  0.96218	  0.98983	  0.96867
7	 340.5331	  7.08354	        0	  0.99082	        0	  0.96073	        0	  0.96218	  0.99034	  0.97124
8	353.24921	  4.92735	        0	  0.99091	        0	  0.96224	        0	  0.96369	  0.99047	  0.97228
9	366.26114	  3.56235	        0	  0.99095	        0	  0.96369	        0	  0.96369	  0.99063	  0.97278
10	 384.7364	  2.48687	  0.99999	  0.99098	  0.99852	  0.96515	  0.99963	  0.96369	  0.99072	  0.97328
11	397.80214	  1.51956	        0	  0.99096	        0	  0.96369	        0	  0.96369	   0.9907	  0.97278
12	410.78622	  1.45099	        0	  0.99095	        0	  0.96369	        0	  0.96369	   0.9907	  0.97278
13	423.72356	  1.38427	        0	  0.99094	        0	  0.96369	        0	  0.96369	   0.9907	  0.97278
14	436.08439	  1.31763	        0	  0.99095	        0	  0.96369	        0	  0.96369	  0.99072	  0.97278
15	454.70046	   1.2498	      1.0	  0.99094	  0.99852	  0.96369	  0.99963	  0.96369	  0.99071	  0.97277
Fold 2:
0	473.51415	121.21033	  0.98207	  0.96847	  0.97977	  0.96613	  0.86016	  0.81997	  0.97006	  0.91819
1	486.67694	 62.84069	        0	  0.97969	        0	  0.97662	        0	  0.82148	   0.9794	  0.92593
2	499.75599	 43.31346	        0	  0.98441	        0	  0.97976	        0	  0.87897	  0.98444	  0.94771
3	512.11749	 32.68056	        0	  0.98621	        0	  0.97101	        0	  0.91225	  0.98575	  0.95649
4	524.96322	 23.39131	        0	  0.98981	        0	  0.96142	        0	  0.94251	  0.98966	  0.96458
5	543.10117	  19.1694	  0.99977	  0.99025	  0.99333	  0.97054	  0.99149	  0.94705	  0.98771	  0.96928
6	556.29295	  6.00594	        0	   0.9909	        0	  0.97077	        0	  0.95461	  0.98924	  0.97209
7	569.25157	  2.82755	        0	  0.99063	        0	  0.97072	        0	   0.9531	  0.98905	  0.97148
8	582.15392	  1.57642	        0	  0.99065	        0	  0.97077	        0	  0.95461	   0.9896	  0.97201
9	595.20498	  0.82361	        0	  0.99078	        0	  0.97227	        0	  0.95461	  0.99004	  0.97255
10	613.37078	   0.4626	      1.0	  0.99078	      1.0	  0.96928	  0.99963	  0.95461	  0.99022	  0.97156
11	626.26174	  0.22521	        0	  0.99074	        0	  0.96928	        0	  0.95461	  0.99017	  0.97154
12	639.31476	   0.1754	        0	  0.99074	        0	  0.96928	        0	  0.95461	  0.99019	  0.97155
13	652.31712	  0.14227	        0	  0.99075	        0	  0.96928	        0	  0.95461	  0.99021	  0.97155
14	665.26575	  0.11774	        0	  0.99077	        0	  0.97077	        0	  0.95461	  0.99025	  0.97205
15	682.52802	      0.1	      1.0	  0.99079	      1.0	  0.97072	      1.0	   0.9531	  0.99028	  0.97154
Fold 3:
0	701.37795	117.84774	  0.98619	  0.97423	  0.96723	  0.95881	  0.91713	  0.88048	  0.97115	  0.93784
1	714.42097	 55.28421	        0	  0.98279	        0	  0.96833	        0	  0.87897	  0.98031	  0.94336
2	727.37064	 34.25382	        0	  0.98149	        0	  0.96314	        0	  0.90923	  0.97771	  0.95129
3	740.28497	 28.48264	        0	  0.98371	        0	  0.90423	        0	  0.97126	  0.98201	  0.95306
4	753.18275	 30.69257	        0	  0.98534	        0	  0.85602	        0	  0.98941	  0.97983	  0.94359
5	771.42899	 23.65561	  0.99927	  0.98971	  0.99546	  0.97738	  0.97447	  0.91528	  0.98763	  0.96079
6	783.87487	  8.22667	        0	  0.99142	        0	  0.96108	        0	  0.97126	  0.98755	  0.97458
7	796.96497	  4.35496	        0	  0.99177	        0	  0.96828	        0	  0.96974	  0.98884	   0.9766
8	809.87785	  2.86923	        0	  0.99176	        0	  0.96677	        0	  0.96823	  0.98956	  0.97559
9	822.59717	  1.65424	        0	  0.99187	        0	  0.96531	        0	  0.96823	  0.99026	  0.97514
10	841.10207	  1.00594	      1.0	  0.99169	  0.99926	   0.9697	      1.0	  0.96823	  0.99031	  0.97654
11	  853.501	  0.50961	        0	  0.99171	        0	   0.9697	        0	  0.96823	  0.99032	  0.97654
12	866.28633	  0.47996	        0	  0.99173	        0	   0.9697	        0	  0.96823	  0.99036	  0.97655
13	879.32621	  0.45156	        0	  0.99175	        0	  0.97117	        0	  0.96823	  0.99042	  0.97705
14	892.27519	  0.42295	        0	  0.99175	        0	  0.97264	        0	  0.96823	  0.99044	  0.97754
15	911.14006	  0.39398	      1.0	  0.99175	  0.99963	  0.97264	      1.0	  0.96823	  0.99046	  0.97754
Fold 4:
0	928.80437	122.89705	  0.98161	  0.97211	  0.94394	   0.9378	  0.91565	  0.88956	  0.97246	  0.93316
1	941.61288	 62.85854	        0	  0.97994	        0	  0.93488	        0	  0.91225	  0.97876	  0.94236
2	954.44161	 39.15795	        0	  0.97638	        0	  0.89616	        0	   0.9531	   0.9733	  0.94188
3	967.45297	 35.33144	        0	  0.98104	        0	  0.94118	        0	  0.94402	  0.97613	  0.95541
4	 980.4341	 28.12028	        0	  0.98652	        0	  0.96557	        0	  0.93343	  0.98154	  0.96184
5	999.22888	 18.78708	  0.99954	  0.98892	  0.98966	  0.95352	  0.99112	  0.96218	  0.98527	  0.96821
6	1011.56498	  7.47237	        0	  0.99096	        0	  0.97227	        0	  0.95461	  0.98775	  0.97261
7	1024.17112	  3.42129	        0	  0.99073	        0	  0.96789	        0	  0.95764	  0.98657	  0.97209
8	1036.69082	  2.17737	        0	  0.99069	        0	  0.96499	        0	  0.95915	  0.98734	  0.97161
9	1049.55669	  1.50948	        0	  0.99083	        0	  0.96933	        0	  0.95613	  0.98737	  0.97209
10	1068.16153	  1.06428	  0.99999	  0.99092	  0.99926	  0.96933	      1.0	  0.95613	  0.98806	  0.97212
11	1081.2611	  0.90858	        0	  0.99093	        0	  0.96942	        0	  0.95915	  0.98836	  0.97317
12	1094.15877	  0.85549	        0	   0.9909	        0	  0.96942	        0	  0.95915	   0.9884	  0.97316
13	1106.36364	   0.8237	        0	   0.9909	        0	  0.96942	        0	  0.95915	  0.98846	  0.97316
14	1119.30243	  0.80068	        0	  0.99089	        0	  0.96942	        0	  0.95915	   0.9885	  0.97315
15	1137.70177	   0.7816	  0.99999	  0.99089	  0.99926	  0.96942	      1.0	  0.95915	  0.98851	  0.97315
